1,1,3641322.53
1,2,3660437.92
1,4,3688195.83
1,8,4670999.17
2,1,4265221.67
2,2,5490042.91
2,4,5152275.42
2,8,5459154.17
4,1,5060763.33
4,2,6175145.0
4,4,8581259.17
4,8,10872568.75
8,1,5635890.41
8,2,8197595.83
8,4,12921200.83
8,8,17419966.25
16,1,6583094.58
16,2,11393736.25
16,4,19344108.75
16,8,27282022.08
32,1,8445050.42
32,2,16853683.33
32,4,29014149.16
32,8,44934762.92
64,1,11598572.5
64,2,26373733.75
64,4,48483998.33
64,8,77935836.67
128,1,17558429.16
128,2,45966003.75
128,4,86207766.66
128,8,141334915.42
